VBELN,FKART,FKDAT,REF_SO,KUNNR,NETWR,WAERK,STATUS
9000000000,S1,2024-10-12,4500000000,0000100068,6275.47,USD,Cancelled
9000000001,F2,2025-01-03,4500000002,0000100153,518.71,USD,Posted
9000000002,F2,2025-08-18,4500000003,0000100108,1375.67,USD,Posted
9000000003,F2,2026-04-22,4500000005,0000100123,5690.8,USD,Posted
9000000004,F2,2025-08-14,4500000006,0000100008,2302.14,USD,Posted
9000000005,S1,2025-09-14,4500000007,0000100071,1175.32,USD,Cancelled
9000000006,F2,2024-10-02,4500000008,0000100177,1086.8,USD,Posted
9000000007,F2,2025-08-01,4500000009,0000100165,32.5,USD,Posted
9000000008,F2,2025-06-13,4500000010,0000100124,5578.07,USD,Posted
9000000009,F2,2026-05-31,4500000011,0000100021,4979.83,USD,Posted
9000000010,F2,2025-10-24,4500000012,0000100190,3297.84,USD,Posted
9000000011,F2,2026-03-24,4500000013,0000100129,25923.81,USD,Posted
9000000012,F2,2025-08-03,4500000014,0000100061,2315.24,USD,Posted
9000000013,F2,2025-01-21,4500000015,0000100023,529.6,USD,Posted
9000000014,F2,2026-05-10,4500000017,0000100097,143.44,USD,Posted
9000000015,F2,2025-06-19,4500000018,0000100166,877.14,USD,Posted
9000000016,F2,2024-11-26,4500000019,0000100075,8728.12,USD,Posted
9000000017,F2,2025-09-16,4500000021,0000100047,2466.32,USD,Posted
9000000018,F2,2026-04-02,4500000022,0000100149,2213.88,USD,Posted
9000000019,F2,2025-11-29,4500000023,0000100028,2069.19,USD,Posted
9000000020,F2,2025-09-23,4500000024,0000100095,6615.13,USD,Posted
9000000021,F2,2025-11-12,4500000025,0000100086,492.16,USD,Posted
9000000022,F2,2025-06-20,4500000026,0000100079,1959.96,USD,Posted
9000000023,F2,2024-10-25,4500000027,0000100105,42.57,USD,Posted
9000000024,F2,2024-10-31,4500000028,0000100145,3396.39,USD,Posted
9000000025,F2,2026-08-05,4500000029,0000100013,8780.88,USD,Posted
9000000026,F2,2026-05-25,4500000030,0000100088,3935.96,USD,Posted
9000000027,F2,2025-04-24,4500000031,0000100012,1493.36,USD,Posted
9000000028,F2,2026-06-29,4500000032,0000100163,4800.56,USD,Posted
9000000029,F2,2025-10-04,4500000033,0000100179,120.95,USD,Posted
9000000030,F2,2024-11-28,4500000034,0000100090,6991.08,USD,Posted
9000000031,F2,2026-06-04,4500000035,0000100153,3924.29,USD,Posted
9000000032,F2,2025-11-18,4500000036,0000100198,1330.29,USD,Posted
9000000033,F2,2026-07-27,4500000037,0000100000,4286.47,USD,Posted
9000000034,F2,2026-01-26,4500000038,0000100009,1570.69,USD,Posted
9000000035,F2,2024-11-21,4500000039,0000100065,2901.5,USD,Posted
9000000036,F2,2025-12-19,4500000040,0000100188,1099.4,USD,Posted
9000000037,F2,2026-04-14,4500000041,0000100019,3443.26,USD,Posted
9000000038,F2,2026-07-09,4500000042,0000100087,4652.15,USD,Posted
9000000039,F2,2025-05-16,4500000043,0000100133,1383.91,USD,Posted
9000000040,F2,2025-10-09,4500000044,0000100140,3278.75,USD,Posted
9000000041,F2,2026-02-11,4500000045,0000100185,7.32,USD,Posted
9000000042,F2,2025-01-17,4500000046,0000100129,72.85,USD,Posted
9000000043,F2,2026-05-27,4500000047,0000100071,109.44,USD,Posted
9000000044,F2,2026-04-11,4500000048,0000100192,1604.74,USD,Posted
9000000045,F2,2024-10-20,4500000049,0000100107,2080.65,USD,Posted
9000000046,F2,2025-11-23,4500000050,0000100076,6214.56,USD,Posted
9000000047,S1,2025-06-11,4500000051,0000100134,4616.67,USD,Cancelled
9000000048,F2,2025-01-30,4500000052,0000100062,1298.59,USD,Posted
9000000049,S1,2025-12-03,4500000053,0000100073,50.32,USD,Cancelled
9000000050,F2,2026-08-25,4500000054,0000100051,5856.6,USD,Posted
9000000051,F2,2025-10-27,4500000055,0000100106,336.69,USD,Posted
9000000052,F2,2024-12-06,4500000056,0000100118,3189.67,USD,Posted
9000000053,F2,2025-09-13,4500000057,0000100053,6008.77,USD,Posted
9000000054,F2,2026-04-09,4500000058,0000100182,6111.98,USD,Posted
9000000055,F2,2026-08-16,4500000059,0000100040,129.77,USD,Posted
9000000056,F2,2026-02-18,4500000060,0000100122,9453.83,USD,Posted
9000000057,G2,2024-10-16,4500000061,0000100052,-52.98,USD,Posted
9000000058,F2,2026-08-23,4500000062,0000100054,5150.72,USD,Posted
9000000059,F2,2025-12-03,4500000063,0000100045,444.62,USD,Posted
9000000060,F2,2024-11-19,4500000064,0000100171,2816.34,USD,Posted
9000000061,S1,2024-12-15,4500000065,0000100160,3086.0,USD,Cancelled
9000000062,F2,2024-11-17,4500000066,0000100044,2400.48,USD,Posted
9000000063,F2,2026-01-15,4500000067,0000100180,7480.99,USD,Posted
9000000064,F2,2025-01-04,4500000068,0000100128,3750.24,USD,Posted
9000000065,F2,2026-05-02,4500000069,0000100164,370.8,USD,Posted
9000000066,F2,2024-12-05,4500000070,0000100089,68.24,USD,Posted
9000000067,F2,2025-10-10,4500000071,0000100154,15115.07,USD,Posted
