KUNNR,NAME1,LAND1,ORT01,PSTLZ,REGIO,KTOKD,INDUSTRY,ERDAT
0000100000,"Rodriguez, Figueroa and Sanchez",DE,Lake Curtis,97581,,Z003,Utilities,2025-12-24
0000100001,Garza Inc,IN,North Jefferyhaven,79408,,Z001,Consumer Goods,2020-11-09
0000100002,Baldwin Ltd,US,Robinsonshire,36964,AS,Z001,Retail,2025-11-05
0000100003,Wolfe LLC,IN,Ericmouth,13897,,Z002,Industrial Manufacturing,2021-04-01
0000100004,Howard LLC,US,Lindsaymouth,70785,DE,Z002,Industrial Manufacturing,2026-06-17
0000100005,Miller-Carter,US,Barbaraland,06507,TN,Z003,Automotive,2022-01-18
0000100006,Galloway-Wyatt,DE,South Joshuastad,21820,,Z001,Logistics,2022-11-22
0000100007,Santiago Ltd,DE,New Cynthiaside,96069,,Z002,Life Sciences,2022-02-24
0000100008,Gray-Mayo,US,Lake Mark,07832,IN,Z003,Consumer Goods,2025-07-25
0000100009,Morales-Jones,DE,Jasonfort,52357,,Z003,Logistics,2025-12-08
0000100010,"Ellis, Baker and Wright",US,Juliechester,76985,MO,Z002,Retail,2022-11-04
0000100011,Hicks Inc,GB,Port Danielburgh,89693,,Z001,Logistics,2023-03-14
0000100012,Cruz PLC,JP,Riceside,02005,,Z002,Logistics,2024-09-22
0000100013,Maldonado PLC,US,Kaylamouth,15122,LA,Z001,Chemicals,2023-04-10
0000100014,Smith-Bowen,IN,Teresaburgh,67043,,Z002,Consumer Goods,2026-02-07
0000100015,"Evans, Fowler and Lynch",NL,West Kathryn,71198,,Z001,Utilities,2026-05-06
0000100016,"Sellers, George and Burns",BR,West Natashaport,31886,,Z001,Industrial Manufacturing,2021-01-16
0000100017,"Arroyo, Miller and Tucker",FR,Port Amandaberg,17329,,Z001,High Tech,2024-08-09
0000100018,"Martin, Rose and Obrien",BR,New Karina,90923,,Z003,Pharma,2021-11-21
0000100019,Ross-Powers,IN,Samuelhaven,59678,,Z003,Utilities,2021-06-01
0000100020,Brown Inc,IN,New Jeffrey,09806,,Z001,Utilities,2024-11-21
0000100021,Perez Inc,MX,Chadbury,37001,,Z002,Retail,2024-08-29
0000100022,Ryan Ltd,IN,Sanchezfort,53855,,Z003,Logistics,2021-10-29
0000100023,Hopkins LLC,DE,Jenkinston,88760,,Z001,Logistics,2024-07-26
0000100024,"Garcia, Powell and Morgan",ZA,East Jamesside,59301,,Z002,Utilities,2021-07-13
0000100025,Ramirez and Sons,US,South Lindseyside,13334,AR,Z002,Automotive,2024-07-23
0000100026,"Huff, Novak and House",CN,East Richard,63593,,Z002,Retail,2021-12-19
0000100027,Barrera-Martin,SG,South Josephmouth,37889,,Z002,Chemicals,2023-03-16
0000100028,"Cowan, Peters and Higgins",MX,East Kenneth,08166,,Z001,Automotive,2024-02-17
0000100029,"Brown, Edwards and Williams",US,Shawhaven,21136,AR,Z001,Utilities,2026-05-22
0000100030,York Inc,IN,Lake Michellefurt,16214,,Z001,Industrial Manufacturing,2026-04-10
0000100031,"Sanchez, Wheeler and Harvey",NL,Sandovalshire,69023,,Z001,Retail,2022-07-28
0000100032,Harris-Moran,JP,West Randy,88540,,Z002,Retail,2024-07-09
0000100033,Stewart-Walton,FR,North Stephenshire,13605,,Z002,Chemicals,2021-02-18
0000100034,Wagner and Sons,US,Nicolebury,48935,LA,Z002,Life Sciences,2021-08-20
0000100035,"Warner, Carr and Archer",US,Lake Lisaport,87452,CT,Z001,Chemicals,2026-04-04
0000100036,Baker Inc,GB,West Juan,28108,,Z001,Pharma,2024-12-12
0000100037,Watts LLC,NL,Kington,12598,,Z001,Pharma,2024-06-15
0000100038,Williams-Cook,AU,Lake Tina,21679,,Z001,Consumer Goods,2025-02-01
0000100039,"Thornton, Hoffman and Rodriguez",US,New Barry,48894,OR,Z003,Logistics,2023-12-21
0000100040,Anderson-Parker,US,West Jasonbury,87917,CT,Z001,Pharma,2022-10-17
0000100041,"Henson, Russell and Oliver",NL,East Michelle,23707,,Z001,Life Sciences,2025-12-01
0000100042,White LLC,US,Phambury,35471,GA,Z001,Automotive,2025-05-12
0000100043,Reyes Inc,US,Walkermouth,46331,ME,Z002,Logistics,2025-07-22
0000100044,Walker Ltd,CA,South Mark,09600,,Z003,Chemicals,2026-06-04
0000100045,Bell-Hicks,US,Sheilaville,34738,HI,Z001,Retail,2024-02-20
0000100046,Johnson-Carlson,CN,Jessicamouth,57700,,Z001,Utilities,2024-04-15
