BELNR,BUKRS,GJAHR,BUDAT,BUZEI,HKONT,SHKZG,DMBTR,REF_BILLING
5000000001,DE20,2025,2025-01-03,001,0140000000,S,518.71,9000000001
5000000001,DE20,2025,2025-01-03,002,0800000000,H,518.71,9000000001
5000000002,US10,2025,2025-08-18,001,0140000000,S,1375.67,9000000002
5000000002,US10,2025,2025-08-18,002,0800000000,H,1375.67,9000000002
5000000003,IN30,2026,2026-04-22,001,0140000000,S,5690.8,9000000003
5000000003,IN30,2026,2026-04-22,002,0800000000,H,5690.8,9000000003
5000000004,US10,2025,2025-08-14,001,0140000000,S,2302.14,9000000004
5000000004,US10,2025,2025-08-14,002,0800000000,H,2302.14,9000000004
5000000006,US10,2024,2024-10-02,001,0140000000,S,1086.8,9000000006
5000000006,US10,2024,2024-10-02,002,0800000000,H,1086.8,9000000006
5000000007,DE20,2025,2025-08-01,001,0140000000,S,32.5,9000000007
5000000007,DE20,2025,2025-08-01,002,0800000000,H,32.5,9000000007
5000000008,US10,2025,2025-06-13,001,0140000000,S,5578.07,9000000008
5000000008,US10,2025,2025-06-13,002,0800000000,H,5578.07,9000000008
5000000009,US10,2026,2026-05-31,001,0140000000,S,4979.83,9000000009
5000000009,US10,2026,2026-05-31,002,0800000000,H,4979.83,9000000009
5000000010,US10,2025,2025-10-24,001,0140000000,S,3297.84,9000000010
5000000010,US10,2025,2025-10-24,002,0800000000,H,3297.84,9000000010
5000000011,US10,2026,2026-03-24,001,0140000000,S,25923.81,9000000011
5000000011,US10,2026,2026-03-24,002,0800000000,H,25923.81,9000000011
5000000012,US10,2025,2025-08-03,001,0140000000,S,2315.24,9000000012
5000000012,US10,2025,2025-08-03,002,0800000000,H,2315.24,9000000012
5000000013,IN30,2025,2025-01-21,001,0140000000,S,529.6,9000000013
5000000013,IN30,2025,2025-01-21,002,0800000000,H,529.6,9000000013
5000000014,US10,2026,2026-05-10,001,0140000000,S,143.44,9000000014
5000000014,US10,2026,2026-05-10,002,0800000000,H,143.44,9000000014
5000000015,US10,2025,2025-06-19,001,0140000000,S,877.14,9000000015
5000000015,US10,2025,2025-06-19,002,0800000000,H,877.14,9000000015
5000000016,US10,2024,2024-11-26,001,0140000000,S,8728.12,9000000016
5000000016,US10,2024,2024-11-26,002,0800000000,H,8728.12,9000000016
5000000017,US10,2025,2025-09-16,001,0140000000,S,2466.32,9000000017
5000000017,US10,2025,2025-09-16,002,0800000000,H,2466.32,9000000017
