LOG_ID,TIMESTAMP,INTERFACE_ID,SOURCE_SYSTEM,TARGET_SYSTEM,MESSAGE_TYPE,STATUS,LATENCY_MS,PAYLOAD_SIZE_KB,RETRY_COUNT
LOG-0000583,2026-08-15 14:50:38.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,115.5,6.66,0
LOG-0002253,2026-08-15 14:56:44.079035,IF-003,SAP_S4HANA,ARIBA_NETWORK,ORDRSP,SUCCESS,95.9,3.27,0
LOG-0002548,2026-08-15 14:57:44.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,65.4,33.18,0
LOG-0003401,2026-08-15 15:26:35.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,SUCCESS,24.5,5.59,0
LOG-0002110,2026-08-15 15:37:03.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,54.9,8.02,0
LOG-0004735,2026-08-15 16:02:39.079035,IF-007,SAP_S4HANA,DATA_LAKE,CDC,SUCCESS,104.2,8.58,0
LOG-0003979,2026-08-15 16:03:09.079035,IF-008,SAP_CPI,3PL_PROVIDER,DESADV,SUCCESS,43.2,11.98,0
LOG-0002161,2026-08-15 16:07:26.079035,IF-002,SAP_S4HANA,WMS_MANHATTAN,DESADV,SUCCESS,102.6,7.39,0
LOG-0000355,2026-08-15 16:11:21.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,RETRY,72.5,8.52,3
LOG-0001476,2026-08-15 16:20:48.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,101.1,5.31,0
LOG-0000656,2026-08-15 16:48:42.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,SUCCESS,85.3,1.65,0
LOG-0003223,2026-08-15 16:54:21.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,FAILED,49.8,2.73,1
LOG-0004309,2026-08-15 16:56:05.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,FAILED,110.2,1.16,0
LOG-0002952,2026-08-15 16:58:12.079035,IF-004,SAP_ECC,B2B_VAN_SPS,INVOIC,FAILED,34.2,3.8,2
LOG-0002432,2026-08-15 16:58:53.079035,IF-001,SAP_ECC,SFDC_CRM,ORDERS,RETRY,34.2,11.81,3
LOG-0001366,2026-08-15 17:09:24.079035,IF-006,LEGACY_MAINFRAME,SAP_ECC,MATMAS,SUCCESS,56.8,12.1,0
