VBELN,ERDAT,AUART,VKORG,VTWEG,SPART,KUNNR,NETWR,WAERK,STATUS
4500000000,2024-10-11,OR,1000,20,01,0000100068,6275.47,USD,Billed
4500000001,2026-02-03,OR,2000,20,00,0000100153,2261.15,USD,Cancelled
4500000002,2024-12-27,OR,2000,20,02,0000100153,518.71,USD,Billed
4500000003,2025-08-17,OR,1000,20,02,0000100108,1375.67,USD,Billed
4500000004,2026-01-16,OR,2000,10,01,0000100016,36.79,USD,Cancelled
4500000005,2026-04-15,OR,3000,20,02,0000100123,5690.8,USD,Billed
4500000006,2025-08-10,OR,1000,20,01,0000100008,2302.14,USD,Billed
4500000007,2025-09-12,OR,1000,10,00,0000100071,1175.32,USD,Billed
4500000008,2024-09-27,OR,2000,20,02,0000100177,1086.8,USD,Billed
4500000009,2025-07-26,ZOR,3000,12,00,0000100165,32.5,USD,Billed
4500000010,2025-06-12,ZOR,3000,12,02,0000100124,5578.07,USD,Billed
4500000011,2026-05-29,OR,1000,20,02,0000100021,4979.83,USD,Billed
4500000012,2025-10-17,OR,2000,20,01,0000100190,3297.84,USD,Billed
4500000013,2026-03-19,OR,2000,12,02,0000100129,25923.81,USD,Billed
4500000014,2025-07-27,OR,1000,10,01,0000100061,2315.24,USD,Billed
4500000015,2025-01-19,ZOR,1000,12,00,0000100023,529.6,USD,Billed
4500000016,2026-05-27,CS,2000,10,01,0000100073,3579.24,USD,Cancelled
4500000017,2026-05-05,OR,1000,20,02,0000100097,143.44,USD,Billed
4500000018,2025-06-14,OR,1000,12,01,0000100166,877.14,USD,Billed
4500000019,2024-11-21,CS,3000,10,02,0000100075,8728.12,USD,Billed
4500000020,2025-09-22,OR,3000,10,02,0000100197,2837.95,USD,Cancelled
4500000021,2025-09-10,OR,3000,20,01,0000100047,2466.32,USD,Billed
4500000022,2026-03-31,CS,2000,20,01,0000100149,2213.88,USD,Billed
4500000023,2025-11-23,OR,3000,20,02,0000100028,2069.19,USD,Billed
4500000024,2025-09-18,OR,2000,20,01,0000100095,6615.13,USD,Billed
4500000025,2025-11-07,OR,1000,20,02,0000100086,492.16,USD,Billed
4500000026,2025-06-15,OR,3000,12,02,0000100079,1959.96,USD,Billed
4500000027,2024-10-18,OR,2000,12,00,0000100105,42.57,USD,Billed
4500000028,2024-10-27,OR,3000,10,02,0000100145,3396.39,USD,Billed
4500000029,2026-08-02,RE,1000,12,00,0000100013,8780.88,USD,Billed
4500000030,2026-05-19,OR,2000,20,01,0000100088,3935.96,USD,Billed
4500000031,2025-04-17,OR,3000,10,00,0000100012,1493.36,USD,Billed
4500000032,2026-06-24,OR,1000,12,02,0000100163,4800.56,USD,Billed
4500000033,2025-09-29,RE,1000,20,01,0000100179,120.95,USD,Billed
4500000034,2024-11-27,OR,1000,10,02,0000100090,6991.08,USD,Billed
4500000035,2026-05-31,OR,2000,20,02,0000100153,3924.29,USD,Billed
4500000036,2025-11-14,OR,3000,12,02,0000100198,1330.29,USD,Billed
4500000037,2026-07-26,RE,1000,10,01,0000100000,4286.47,USD,Billed
4500000038,2026-01-22,ZOR,3000,10,01,0000100009,1570.69,USD,Billed
4500000039,2024-11-20,OR,2000,20,01,0000100065,2901.5,USD,Billed
4500000040,2025-12-12,OR,2000,12,01,0000100188,1099.4,USD,Billed
4500000041,2026-04-11,OR,2000,12,01,0000100019,3443.26,USD,Billed
4500000042,2026-07-02,CS,2000,10,00,0000100087,4652.15,USD,Billed
