VBELN,POSNR,MATNR,WERKS,KWMENG,NETPR,NETWR
4500000000,10,0000900288,1020,39,29.03,1132.17
4500000000,20,0000900130,1020,38,135.35,5143.3
4500000001,10,0000900251,1010,21,26.61,558.81
4500000001,20,0000900118,1000,47,36.22,1702.34
4500000002,10,0000900105,1020,18,22.84,411.12
4500000002,20,0000900010,1010,29,3.71,107.59
4500000003,10,0000900128,1010,14,1.63,22.82
4500000003,20,0000900033,1000,29,46.65,1352.85
4500000004,10,0000900003,1000,13,2.83,36.79
4500000005,10,0000900158,1020,39,9.67,377.13
4500000005,20,0000900262,2010,39,8.22,320.58
4500000005,30,0000900191,2000,35,97.33,3406.55
4500000005,40,0000900032,2010,46,34.49,1586.54
4500000006,10,0000900000,1000,29,7.93,229.97
4500000006,20,0000900059,2000,29,47.28,1371.12
4500000006,30,0000900045,1000,43,10.71,460.53
4500000006,40,0000900233,1000,28,8.59,240.52
4500000007,10,0000900176,2010,20,35.16,703.2
4500000007,20,0000900017,1020,22,21.46,472.12
4500000008,10,0000900027,1010,40,27.17,1086.8
4500000009,10,0000900058,1000,2,16.25,32.5
4500000010,10,0000900146,1010,24,74.78,1794.72
4500000010,20,0000900179,2010,40,59.24,2369.6
4500000010,30,0000900218,2010,29,48.75,1413.75
4500000011,10,0000900212,2000,36,14.33,515.88
4500000011,20,0000900241,2010,30,127.8,3834.0
4500000011,30,0000900292,1000,43,14.65,629.95
4500000012,10,0000900242,1010,24,137.41,3297.84
4500000013,10,0000900135,2000,23,4.32,99.36
4500000013,20,0000900039,1000,47,535.3,25159.1
4500000013,30,0000900080,1010,35,19.01,665.35
4500000014,10,0000900128,1010,2,1.46,2.92
4500000014,20,0000900072,2000,21,50.04,1050.84
4500000014,30,0000900165,1000,44,28.67,1261.48
4500000015,10,0000900239,2000,10,52.96,529.6
4500000016,10,0000900021,1010,12,45.07,540.84
4500000016,20,0000900128,1010,44,1.62,71.28
4500000016,30,0000900043,2000,26,114.12,2967.12
4500000017,10,0000900052,1000,4,12.71,50.84
4500000017,20,0000900171,2010,8,4.06,32.48
4500000017,30,0000900026,1000,9,6.68,60.12
4500000018,10,0000900277,2000,33,26.58,877.14
4500000019,10,0000900162,2000,46,169.35,7790.1
4500000019,20,0000900021,1010,17,41.5,705.5
4500000019,30,0000900008,1010,13,12.92,167.96
4500000019,40,0000900092,1020,8,8.07,64.56
4500000020,10,0000900118,1000,36,37.29,1342.44
4500000020,20,0000900201,1020,21,62.39,1310.19
4500000020,30,0000900171,2010,41,4.52,185.32
4500000021,10,0000900218,2010,40,50.35,2014.0
4500000021,20,0000900098,1010,22,20.56,452.32
4500000022,10,0000900223,1020,38,58.26,2213.88
4500000023,10,0000900187,1000,13,77.09,1002.17
4500000023,20,0000900180,2010,33,8.79,290.07
4500000023,30,0000900253,1020,41,18.95,776.95
4500000024,10,0000900124,1000,24,75.57,1813.68
4500000024,20,0000900149,2000,38,11.15,423.7
4500000024,30,0000900241,2010,39,112.25,4377.75
4500000025,10,0000900159,1010,29,6.0,174.0
4500000025,20,0000900057,2010,2,71.5,143.0
4500000025,30,0000900001,1000,4,43.79,175.16
4500000026,10,0000900263,1000,30,12.43,372.9
4500000026,20,0000900151,1000,27,58.78,1587.06
4500000027,10,0000900171,2010,9,4.73,42.57
4500000028,10,0000900115,2000,24,42.3,1015.2
4500000028,20,0000900190,2010,17,11.75,199.75
4500000028,30,0000900265,2000,34,64.16,2181.44
4500000029,10,0000900218,2010,20,47.76,955.2
4500000029,20,0000900046,1020,35,12.28,429.8
4500000029,30,0000900099,1010,46,160.78,7395.88
4500000030,10,0000900040,2000,26,28.6,743.6
4500000030,20,0000900149,2000,2,11.5,23.0
4500000030,30,0000900049,1010,20,154.91,3098.2
4500000030,40,0000900122,1020,4,17.79,71.16
4500000031,10,0000900122,1020,48,19.43,932.64
4500000031,20,0000900002,2010,22,5.12,112.64
4500000031,30,0000900179,2010,8,56.01,448.08
4500000032,10,0000900172,2000,34,6.69,227.46
4500000032,20,0000900050,1020,39,112.8,4399.2
4500000032,30,0000900173,2000,10,17.39,173.9
4500000033,10,0000900240,2000,5,24.19,120.95
4500000034,10,0000900214,2000,46,151.98,6991.08
4500000035,10,0000900104,2010,34,34.15,1161.1
4500000035,20,0000900010,1010,6,3.91,23.46
4500000035,30,0000900257,2000,27,76.55,2066.85
4500000035,40,0000900111,1020,26,25.88,672.88
